service_type,program_area,sector,classification,count,capacity,occupancy_rate
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,19,23,82.61
Warming Centre,Winter Programs,Mixed Adult,Emergency,21,48,43.75
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,35,35,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,78,98.72
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,120,120,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,41,46,89.13
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,70,90
Warming Centre,Winter Programs,Mixed Adult,Emergency,54,60,90
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,112,112,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,108,109,99.08
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,22,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,48,91.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
