id,date,location,sector,classification,count,capacity,occupancy_rate
3,2024-01-01,Toronto,Mixed Adult,Emergency,8,8,100
8,2024-01-01,Toronto,Men,Emergency,42,42,100
9,2024-01-01,Toronto,Men,Emergency,30,30,100
10,2024-01-01,Toronto,Mixed Adult,Emergency,19,23,82.61
13,2024-01-01,Toronto,Mixed Adult,Emergency,21,48,43.75
14,2024-01-01,Toronto,Men,Transitional,14,18,77.78
19,2024-01-01,Toronto,Men,Transitional,61,68,89.71
20,2024-01-01,Toronto,Men,Transitional,46,48,95.83
21,2024-01-01,Toronto,Men,Emergency,101,101,100
25,2024-01-01,Toronto,Mixed Adult,Transitional,93,93,100
26,2024-01-01,Toronto,Men,Emergency,62,62,100
27,2024-01-01,Toronto,Men,Emergency,66,66,100
28,2024-01-01,Toronto,Men,Emergency,118,118,100
29,2024-01-01,Toronto,Men,Transitional,33,36,91.67
30,2024-01-01,Toronto,Men,Emergency,16,16,100
31,2024-01-01,Toronto,Men,Emergency,53,53,100
32,2024-01-01,Toronto,Men,Emergency,106,106,100
33,2024-01-01,Toronto,Mixed Adult,Transitional,35,35,100
40,2024-01-01,Toronto,Women,Emergency,87,87,100
41,2024-01-01,Toronto,Men,Emergency,28,28,100
42,2024-01-01,Toronto,Youth,Transitional,1,2,50
43,2024-01-01,Toronto,Youth,Emergency,94,94,100
44,2024-01-01,Toronto,Youth,Emergency,30,30,100
45,2024-01-01,Toronto,Youth,Transitional,26,28,92.86
46,2024-01-01,Toronto,Mixed Adult,Emergency,77,78,98.72
47,2024-01-01,Toronto,Mixed Adult,Emergency,120,120,100
48,2024-01-01,Scarborough,Mixed Adult,Emergency,50,50,100
50,2024-01-01,Toronto,Mixed Adult,Emergency,62,62,100
51,2024-01-01,Toronto,Men,Emergency,30,30,100
52,2024-01-01,Toronto,Mixed Adult,Emergency,41,46,89.13
53,2024-01-01,Toronto,Youth,Transitional,49,50,98
54,2024-01-01,Toronto,Youth,Emergency,40,40,100
56,2024-01-01,Toronto,Mixed Adult,Transitional,5,5,100
57,2024-01-01,Toronto,Mixed Adult,Transitional,7,11,63.64
58,2024-01-01,Toronto,Women,Transitional,36,37,97.3
59,2024-01-01,Toronto,Women,Transitional,23,25,92
60,2024-01-01,Toronto,Women,Emergency,51,52,98.08
61,2024-01-01,Toronto,Women,Emergency,36,36,100
62,2024-01-01,Toronto,Mixed Adult,Emergency,70,70,100
64,2024-01-01,Toronto,Mixed Adult,Emergency,63,70,90
65,2024-01-01,Toronto,Mixed Adult,Emergency,54,60,90
66,2024-01-01,Toronto,Mixed Adult,Emergency,112,112,100
69,2024-01-01,Toronto,Men,Transitional,23,25,92
70,2024-01-01,Toronto,Men,Emergency,35,35,100
71,2024-01-01,Toronto,Men,Transitional,4,5,80
73,2024-01-01,Toronto,Women,Emergency,61,61,100
74,2024-01-01,Toronto,Mixed Adult,Emergency,108,109,99.08
75,2024-01-01,Toronto,Men,Emergency,34,34,100
76,2024-01-01,Toronto,Women,Emergency,65,65,100
77,2024-01-01,Toronto,Men,Emergency,72,72,100
78,2024-01-01,Scarborough,Mixed Adult,Emergency,89,89,100
80,2024-01-01,North York,Men,Emergency,278,278,100
81,2024-01-01,North York,Women,Emergency,132,132,100
82,2024-01-01,North York,Men,Emergency,6,6,100
83,2024-01-01,North York,Women,Emergency,4,4,100
85,2024-01-01,Toronto,Mixed Adult,Emergency,38,38,100
88,2024-01-01,Toronto,Mixed Adult,Emergency,83,83,100
89,2024-01-01,Toronto,Mixed Adult,Emergency,49,49,100
90,2024-01-01,Toronto,Youth,Emergency,45,45,100
91,2024-01-01,Toronto,Youth,Emergency,23,23,100
92,2024-01-01,Toronto,Mixed Adult,Emergency,30,30,100
93,2024-01-01,Toronto,Men,Emergency,54,54,100
94,2024-01-01,Toronto,Men,Transitional,15,17,88.24
95,2024-01-01,Toronto,Youth,Emergency,10,12,83.33
96,2024-01-01,Toronto,Youth,Emergency,12,15,80
97,2024-01-01,Toronto,Women,Emergency,16,16,100
98,2024-01-01,Toronto,Women,Transitional,20,20,100
99,2024-01-01,Toronto,Women,Emergency,31,31,100
